,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
828,20,15,131.6,101.4,6.7,23.6
829,20,15,138.4,107.0,6.1,25.3
830,20,20,128.5,100.4,8.8,19.3
831,20,20,130.4,100.2,8.6,21.7
832,20,20,129.9,101.0,8.8,20.1
833,20,20,118.3,92.5,9.4,16.4
834,20,20,124.1,95.7,9.3,19.1
835,20,20,116.7,91.6,10.7,14.4
836,20,20,126.9,98.1,8.3,20.5
837,20,20,122.3,95.7,9.1,17.5
838,20,20,135.5,103.4,8.7,23.4
839,20,20,129.5,102.2,8.4,18.9
840,20,25,125.5,96.7,10.9,17.9
841,20,25,118.9,93.7,10.7,14.5
842,20,25,119.2,88.8,11.6,18.8
843,20,25,130.2,97.0,10.1,23.0
844,20,25,115.3,90.1,11.8,13.4
845,20,25,123.0,94.4,11.1,17.5
846,20,25,125.8,97.2,11.1,17.6
847,20,25,123.8,94.5,10.4,18.9
848,20,25,123.7,97.3,10.5,15.9
849,20,25,116.4,89.9,11.5,15.1
850,20,30,121.2,93.0,13.6,14.6
851,20,30,115.9,87.5,14.7,13.7
852,20,30,126.5,93.2,12.7,20.6
853,20,30,121.9,92.3,13.2,16.4
854,20,30,115.8,88.9,13.3,13.6
855,20,30,118.3,90.4,13.2,14.7
856,20,30,116.5,89.2,14.0,13.3
857,20,30,120.9,94.5,12.8,13.7
858,20,30,124.6,92.5,12.4,19.7
859,20,30,119.6,90.3,12.5,16.8
860,20,35,116.8,88.3,15.3,13.2
861,20,35,119.9,89.8,15.0,15.2
862,20,35,116.4,89.9,15.2,11.4
863,20,35,121.4,91.5,14.8,15.1
864,20,35,113.4,85.3,17.0,11.1
865,20,35,115.7,88.0,15.3,12.4
866,20,35,120.9,91.0,15.1,14.8
867,20,35,117.0,89.7,15.2,12.1
868,20,35,120.3,88.3,14.9,17.2
869,20,35,119.4,91.6,15.8,12.1
870,20,40,119.9,88.7,17.3,13.9
871,20,40,123.8,90.3,17.9,15.6
872,20,40,115.9,86.1,18.5,11.3
873,20,40,120.2,90.7,18.0,11.5
874,20,40,121.9,90.0,16.5,15.5
875,20,40,117.9,87.8,18.1,12.0
876,20,40,119.5,88.2,17.8,13.5
877,20,40,115.3,86.3,18.3,10.7
878,20,40,118.3,86.0,17.3,15.1
879,20,40,117.8,87.7,17.9,12.2
880,20,45,121.7,90.4,18.8,12.5
881,20,45,120.3,89.2,19.7,11.5
882,20,45,119.0,87.6,20.4,11.1
883,20,45,121.8,88.6,19.9,13.4
884,20,45,117.8,87.7,20.1,10.0
885,20,45,115.6,85.8,20.0,9.8
886,20,45,114.8,84.3,20.9,9.5
887,20,45,119.2,86.6,20.0,12.6
888,20,45,125.0,91.6,19.0,14.4
889,20,45,116.3,85.9,19.1,11.3
890,20,50,120.2,86.2,22.5,11.5
891,20,50,117.5,85.8,21.8,9.9
892,20,50,120.4,88.9,21.9,9.7
893,20,50,118.0,85.2,21.9,10.9
894,20,50,119.6,86.3,22.4,10.9
895,20,50,127.3,91.4,21.4,14.5
896,20,50,115.8,82.6,23.9,9.4
897,20,50,122.6,89.6,22.1,10.8
898,20,50,114.5,84.0,23.5,6.9
899,20,50,122.3,90.2,21.1,11.1
900,20,55,121.2,85.3,25.6,10.2
901,20,55,118.5,82.5,25.1,10.9
902,20,55,121.0,86.7,24.7,9.6
903,20,55,122.9,86.8,24.7,11.3
904,20,55,127.5,90.6,23.9,13.0
905,20,55,118.3,84.2,25.3,8.8
906,20,55,114.5,81.8,26.8,5.9
907,20,55,120.9,85.7,25.2,9.9
908,20,55,126.0,90.8,22.2,13.0
909,20,55,122.8,88.4,23.5,10.9
910,20,60,117.8,81.6,27.3,8.9
911,20,60,121.6,84.2,27.6,9.8
912,20,60,121.1,86.7,25.0,9.4
913,20,60,123.1,87.5,27.4,8.2
914,20,60,118.7,83.2,28.4,7.2
915,20,60,119.3,81.9,27.2,10.2
916,20,60,124.4,87.5,26.5,10.4
917,20,60,122.8,85.0,26.3,11.6
918,20,60,121.7,86.5,27.1,8.2
919,20,60,121.7,85.1,26.5,10.0
920,20,65,121.8,85.2,29.0,7.6
921,20,65,116.2,81.1,30.3,4.8
922,20,65,122.8,86.3,29.2,7.3
923,20,65,122.2,84.8,30.4,7.0
924,20,65,124.2,85.5,28.1,10.6
925,20,65,122.8,84.7,28.7,9.4
926,20,65,120.7,81.0,29.5,10.2
927,20,65,115.0,80.0,29.7,5.3
928,20,65,117.8,81.6,31.3,4.9
929,20,65,123.9,84.3,29.9,9.6
930,20,70,124.3,82.0,32.0,10.3
931,20,70,121.9,81.3,31.2,9.4
932,20,70,125.1,84.3,32.2,8.6
